客户ID,客户姓名,性别,年龄,婚姻状态,城市,教育程度,会员等级,个人年收入,工作年限,注册日期,Recency,Frequency,Monetary,平均订单金额,产品多样性,活动参与次数,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,客户生命周期
C999993839040,anon_S3866,男,34,未婚,宁夏,本科,D-风险客户,53040,11,2022-04-13,38,6,4866.79,811.1316666666667,6,0.0,3,1,3,313,7,900
C999993839119,anon_S3873,男,34,已婚,山西,本科,D-风险客户,53060,11,2023-03-12,20,15,8871.17,591.4113333333333,13,2.0,4,3,4,434,11,567
C999993839131,anon_S3875,男,34,未婚,河北,本科,D-风险客户,53060,11,2022-09-28,92,9,4219.5599999999995,468.8399999999999,8,2.0,2,2,3,223,7,732
C999993839153,anon_S3877,男,34,未婚,河北,本科,D-风险客户,53075,11,2022-04-17,9,15,7673.83,511.58866666666665,15,2.0,4,3,4,434,11,896
C999993839164,anon_S3878,男,34,未婚,重庆,本科,D-风险客户,53075,11,2022-03-13,32,20,11676.64,583.832,18,1.0,3,4,4,344,11,931
C999993839175,anon_S3879,男,34,未婚,北京,本科,D-风险客户,53075,11,2023-12-02,184,6,4328.78,721.4633333333333,5,0.0,1,1,3,113,5,302
C999993839244,anon_S3886,男,34,已婚,上海,本科,D-风险客户,53200,11,2022-01-21,17,12,8539.01,711.5841666666666,10,3.0,4,3,4,434,11,982
C999993839266,anon_S3888,女,34,已婚,天津,本科,D-风险客户,53208,11,2023-09-07,62,18,9039.87,502.21500000000003,13,3.0,2,4,4,244,10,388
C999993839313,anon_S3893,男,34,未婚,吉林,本科,D-风险客户,53208,11,2022-05-02,146,9,4752.19,528.021111111111,9,1.0,1,2,3,123,6,881
C999993839324,anon_S3894,男,34,未婚,广东,本科,D-风险客户,53208,11,2023-04-12,131,9,5247.65,583.0722222222222,9,2.0,1,2,3,123,6,536
C999993839379,anon_S3899,男,34,未婚,重庆,本科,D-风险客户,53208,11,2022-08-03,41,15,8178.42,545.228,10,0.0,3,3,4,334,10,788
C999993839380,anon_S3900,男,34,未婚,广西,本科,D-风险客户,53208,11,2022-11-27,40,6,4818.25,803.0416666666666,6,0.0,3,1,3,313,7,672
C999993847085,anon_S4667,男,48,已婚,海南,初中及以下,D-风险客户,67648,17,2023-04-04,17,3,1259.19,419.73,3,1.0,4,1,1,411,6,544
C999993808363,anon_S799,男,49,未婚,四川,本科,D-风险客户,18750,26,2022-03-29,6,9,6043.68,671.52,9,0.0,4,2,4,424,10,915
C999993846127,anon_S4572,男,32,未婚,上海,本科,D-风险客户,66182,9,2023-01-08,25,9,4072.61,452.51222222222225,8,2.0,3,2,3,323,8,630
C999993846194,anon_S4579,男,30,未婚,安徽,大专,D-风险客户,66182,10,2022-04-10,284,3,3397.1800000000003,1132.3933333333334,3,0.0,1,1,2,112,4,903
C999993839471,anon_S3909,男,34,未婚,浙江,本科,D-风险客户,53450,11,2023-10-26,97,3,1931.08,643.6933333333333,3,0.0,2,1,1,211,4,339
C999993839482,anon_S3910,男,34,未婚,贵州,本科,D-风险客户,53450,11,2022-05-11,36,6,2338.0699999999997,389.6783333333333,6,0.0,3,1,1,311,5,872
C999993839493,anon_S3911,男,34,未婚,四川,本科,D-风险客户,53450,11,2023-10-24,108,15,6679.099999999999,445.2733333333333,15,3.0,2,3,4,234,9,341
C999993839506,anon_S3912,男,34,已婚,甘肃,本科,D-风险客户,53450,11,2022-11-05,10,12,5475.27,456.27250000000004,9,3.0,4,3,3,433,10,694
C999993818021,anon_S1765,女,33,未婚,河北,硕士及以上,D-风险客户,27599,8,2022-12-10,10,9,4550.79,505.6433333333333,9,0.0,4,2,3,423,9,659
C999993839663,anon_S3928,男,34,未婚,天津,本科,D-风险客户,53892,11,2023-05-07,151,15,7799.450000000001,519.9633333333334,14,1.0,1,3,4,134,8,511
C999993802600,anon_S258,女,47,已婚,湖南,本科,D-风险客户,12330,24,2023-02-18,22,15,5881.33,392.08866666666665,14,2.0,3,3,3,333,9,589
C999993839732,anon_S3935,男,34,未婚,陕西,本科,D-风险客户,53998,11,2023-01-21,17,6,4265.81,710.9683333333334,6,0.0,4,1,3,413,8,617
C999993839845,anon_S3946,男,34,未婚,重庆,本科,D-风险客户,54000,11,2022-07-11,115,12,7332.57,611.0475,9,2.0,2,3,4,234,9,811
C999993839856,anon_S3947,男,34,未婚,广东,本科,D-风险客户,54000,11,2022-10-04,242,9,3273.2799999999997,363.69777777777773,9,0.0,1,2,2,122,5,726
C999993839867,anon_S3948,男,32,已婚,河南,本科,D-风险客户,54000,9,2022-06-10,34,18,9085.34,504.74111111111114,16,1.0,3,4,4,344,11,842
C999993839903,anon_S3952,男,34,离异,广东,本科,D-风险客户,54000,11,2023-04-05,57,15,8627.53,575.1686666666667,13,2.0,2,3,4,234,9,543
C999993839947,anon_S3956,女,34,离异,河北,本科,D-风险客户,54000,11,2022-11-10,6,9,5339.34,593.26,9,1.0,4,2,3,423,9,689
C999993839958,anon_S3957,男,34,未婚,贵州,本科,D-风险客户,54000,11,2022-01-22,27,20,9592.82,479.64099999999996,16,3.0,3,4,4,344,11,981
C999993802214,anon_S219,女,47,已婚,贵州,本科,D-风险客户,11320,24,2022-09-10,35,18,10721.81,595.656111111111,16,1.0,3,4,4,344,11,750
C999993839992,anon_S3961,男,34,未婚,四川,本科,D-风险客户,54000,11,2023-07-15,6,12,5944.7,495.39166666666665,12,0.0,4,3,4,434,11,442
C999993840001,anon_S3962,男,34,未婚,北京,本科,D-风险客户,54000,11,2023-04-20,2,9,4100.71,455.63444444444445,8,0.0,4,2,3,423,9,528
C999993840045,anon_S3966,男,32,未婚,天津,本科,D-风险客户,54000,9,2022-02-28,62,9,2537.16,281.90666666666664,8,3.0,2,2,2,222,6,944
C999993840352,anon_S3997,女,34,未婚,北京,本科,D-风险客户,54596,11,2023-05-26,80,3,1486.63,495.54333333333335,3,0.0,2,1,1,211,4,492
C999993840363,anon_S3998,男,35,未婚,山东,本科,D-风险客户,54596,12,2023-11-13,35,6,3326.18,554.3633333333333,6,0.0,3,1,2,312,6,321
C999993808205,anon_S783,女,46,未婚,青海,本科,D-风险客户,18617,23,2023-04-21,352,6,3697.52,616.2533333333333,6,0.0,1,1,3,113,5,527
C999993847278,anon_S4686,男,31,已婚,江西,大专,D-风险客户,68000,11,2023-12-01,37,3,1345.99,448.66333333333336,3,1.0,3,1,1,311,5,303
C999993833945,anon_S3357,女,39,未婚,北京,硕士及以上,D-风险客户,47179,14,2022-07-09,67,12,3269.56,272.4633333333333,10,0.0,2,3,2,232,7,813
C999993847289,anon_S4687,男,31,未婚,安徽,大专,D-风险客户,68000,11,2023-11-18,74,3,2616.1499999999996,872.0499999999998,3,0.0,2,1,2,212,5,316
