客户ID,Recency,Frequency,Monetary,平均订单金额,产品多样性,活动参与次数,R_Score,F_Score,M_Score,RFM_Score,RFM_Total
C999963835873,5,9,3727.24,414.1377777777777,7,1.0,4,2,3,423,9
C999973835875,45,3,1504.3200000000002,501.44000000000005,3,0.0,3,1,1,311,5
C999983959391,1,15,9220.89,614.726,14,3.0,4,3,4,434,11
C999983959392,31,20,14496.49,724.8245,16,3.0,3,4,4,344,11
C999983959393,34,6,1992.64,332.1066666666667,6,1.0,3,1,1,311,5
C999993800668,49,6,3765.3,627.5500000000001,6,0.0,3,1,3,313,7
C999993801038,50,6,2789.32,464.8866666666667,5,0.0,3,1,2,312,6
C999993801345,115,6,2828.71,471.45166666666665,6,1.0,2,1,2,212,5
C999993801550,87,20,11629.22,581.461,18,6.0,2,4,4,244,10
C999993802043,20,6,2420.99,403.4983333333333,6,1.0,4,1,2,412,7
C999993802214,35,18,10721.81,595.656111111111,16,1.0,3,4,4,344,11
C999993802600,22,15,5881.33,392.08866666666665,14,2.0,3,3,3,333,9
C999993802702,6,9,3579.92,397.7688888888889,9,1.0,4,2,2,422,8
C999993802780,46,6,4016.76,669.46,6,0.0,3,1,3,313,7
C999993802815,22,15,10620.84,708.056,14,3.0,3,3,4,334,10
C999993802848,71,3,2779.01,926.3366666666667,3,0.0,2,1,2,212,5
C999993802984,68,6,4068.72,678.12,6,0.0,2,1,3,213,6
C999993802995,158,6,2917.75,486.2916666666667,6,0.0,1,1,2,112,4
C999993803568,16,15,7136.36,475.7573333333333,11,2.0,4,3,4,434,11
C999993803647,74,9,6986.96,776.3288888888889,8,1.0,2,2,4,224,8
C999993803749,35,3,423.22,141.07333333333335,3,1.0,3,1,1,311,5
C999993803910,9,9,5106.57,567.3966666666666,9,1.0,4,2,3,423,9
C999993804119,36,12,6049.2,504.09999999999997,12,0.0,3,3,4,334,10
C999993804324,60,6,2490.52,415.08666666666664,6,1.0,2,1,2,212,5
C999993804685,38,20,10277.42,513.871,16,3.0,3,4,4,344,11
C999993804696,202,6,2244.54,374.09,6,2.0,1,1,1,111,3
C999993804798,108,6,3657.64,609.6066666666667,6,2.0,2,1,3,213,6
C999993804812,33,3,1464.37,488.1233333333333,3,1.0,3,1,1,311,5
C999993804834,183,3,1043.53,347.8433333333333,3,0.0,1,1,1,111,3
C999993806445,118,6,1979.5,329.9166666666667,6,2.0,1,1,1,111,3
C999993806536,74,20,10128.83,506.4415,16,4.0,2,4,4,244,10
C999993806751,198,3,718.31,239.43666666666664,2,0.0,1,1,1,111,3
C999993806784,2,18,9642.72,535.7066666666666,15,1.0,4,4,4,444,12
C999993807620,23,18,9224.82,512.49,17,1.0,3,4,4,344,11
C999993808205,352,6,3697.52,616.2533333333333,6,0.0,1,1,3,113,5
C999993808363,6,9,6043.68,671.52,9,0.0,4,2,4,424,10
C999993808409,32,20,9017.33,450.8665,15,2.0,3,4,4,344,11
C999993809048,204,6,3159.1,526.5166666666667,5,2.0,1,1,2,112,4
C999993809344,77,9,4829.07,536.5633333333333,9,1.0,2,2,3,223,7
C999993809388,74,3,1016.22,338.74,3,0.0,2,1,1,211,4
C999993810316,239,3,1621.51,540.5033333333333,3,1.0,1,1,1,111,3
C999993811047,142,9,4243.8,471.53333333333336,9,2.0,1,2,3,123,6
C999993811172,21,6,5410.34,901.7233333333334,6,2.0,4,1,3,413,8
C999993811558,37,6,2870.55,478.425,6,1.0,3,1,2,312,6
C999993811706,218,6,3239.0299999999997,539.8383333333333,5,0.0,1,1,2,112,4
C999993812176,23,15,6921.73,461.4486666666666,12,5.0,3,3,4,334,10
C999993812631,35,6,3252.25,542.0416666666666,6,1.0,3,1,2,312,6
C999993813180,54,12,6466.2,538.85,12,1.0,2,3,4,234,9
C999993813328,0,12,4440.1900000000005,370.0158333333334,11,2.0,4,3,3,433,10
C999993813395,127,6,3393.14,565.5233333333333,6,0.0,1,1,2,112,4
C999993813408,89,6,3171.3999999999996,528.5666666666666,6,1.0,2,1,2,212,5
C999993813486,44,15,7708.08,513.872,10,1.0,3,3,4,334,10
C999993813497,31,20,10259.86,512.993,17,4.0,3,4,4,344,11
C999993813850,48,12,4089.9900000000002,340.83250000000004,10,0.0,3,3,3,333,9
C999993814004,37,6,5695.35,949.225,6,2.0,3,1,3,313,7
C999993814059,10,6,4093.57,682.2616666666667,6,1.0,4,1,3,413,8
C999993814093,241,3,1686.3,562.1,3,0.0,1,1,1,111,3
C999993814311,26,15,7987.48,532.4986666666666,13,2.0,3,3,4,334,10
C999993814479,149,6,2085.07,347.5116666666667,6,1.0,1,1,1,111,3
C999993814560,105,3,1535.96,511.9866666666667,3,0.0,2,1,1,211,4
C999993814661,281,6,1958.52,326.42,5,2.0,1,1,1,111,3
C999993814718,28,6,2856.61,476.1016666666667,6,1.0,3,1,2,312,6
C999993814763,56,6,5656.43,942.7383333333333,6,0.0,2,1,3,213,6
C999993814887,3,12,6008.84,500.7366666666667,11,2.0,4,3,4,434,11
C999993816090,34,15,7205.34,480.356,12,3.0,3,3,4,334,10
C999993816329,12,12,7692.59,641.0491666666667,10,1.0,4,3,4,434,11
C999993816498,143,6,3286.1400000000003,547.69,5,0.0,1,1,2,112,4
C999993816501,164,6,1706.61,284.435,6,2.0,1,1,1,111,3
C999993816737,159,12,3647.52,303.96,9,3.0,1,3,2,132,6
C999993817027,76,6,3542.06,590.3433333333334,6,1.0,2,1,2,212,5
C999993817174,208,6,3983.63,663.9383333333334,5,2.0,1,1,3,113,5
C999993817470,15,15,8119.83,541.322,14,0.0,4,3,4,434,11
C999993817708,1,20,10364.369999999999,518.2185,18,3.0,4,4,4,444,12
C999993817979,56,12,5117.099999999999,426.42499999999995,12,2.0,2,3,3,233,8
C999993818021,10,9,4550.79,505.6433333333333,9,0.0,4,2,3,423,9
C999993818101,14,15,6049.0599999999995,403.2706666666666,11,2.0,4,3,4,434,11
C999993818236,134,12,6563.280000000001,546.94,11,1.0,1,3,4,134,8
C999993819160,146,9,4601.68,511.2977777777778,9,2.0,1,2,3,123,6
C999993820095,217,9,5862.92,651.4355555555555,8,0.0,1,2,3,123,6
C999993820255,45,6,5855.51,975.9183333333334,6,1.0,3,1,3,313,7
C999993820313,24,9,3910.35,434.48333333333335,9,1.0,3,2,3,323,8
C999993820324,11,12,9503.84,791.9866666666667,10,1.0,4,3,4,434,11
C999993820346,230,6,3659.8,609.9666666666667,5,1.0,1,1,3,113,5
C999993820357,15,9,5189.4400000000005,576.6044444444445,9,1.0,4,2,3,423,9
C999993820368,408,3,1329.16,443.05333333333334,3,0.0,1,1,1,111,3
C999993820391,22,3,1185.71,395.2366666666667,3,0.0,3,1,1,311,5
C999993820415,37,9,4220.84,468.9822222222222,8,1.0,3,2,3,323,8
C999993820437,136,9,4639.81,515.5344444444445,9,2.0,1,2,3,123,6
C999993820448,111,6,3781.14,630.1899999999999,6,2.0,2,1,3,213,6
C999993820459,74,6,2949.93,491.655,6,0.0,2,1,2,212,5
C999993820460,32,6,3085.66,514.2766666666666,6,0.0,3,1,2,312,6
C999993820471,67,9,5468.4,607.5999999999999,8,3.0,2,2,3,223,7
C999993820493,3,6,4124.27,687.3783333333334,5,0.0,4,1,3,413,8
C999993820506,66,9,4871.6900000000005,541.298888888889,8,1.0,2,2,3,223,7
C999993820562,211,3,1977.4,659.1333333333333,3,1.0,1,1,1,111,3
C999993820573,4,3,1504.43,501.4766666666667,3,0.0,4,1,1,411,6
C999993820584,130,3,1684.43,561.4766666666667,3,1.0,1,1,1,111,3
C999993820595,186,6,2569.27,428.21166666666664,6,2.0,1,1,2,112,4
C999993820607,39,9,3127.4,347.4888888888889,9,2.0,3,2,2,322,7
C999993820629,37,9,2779.76,308.8622222222223,7,3.0,3,2,2,322,7
C999993820630,233,6,4572.02,762.0033333333334,6,1.0,1,1,3,113,5
C999993820652,54,6,3486.12,581.02,6,1.0,2,1,2,212,5
C999993820696,79,9,5319.49,591.0544444444445,9,0.0,2,2,3,223,7
C999993820709,48,12,7498.96,624.9133333333333,10,1.0,3,3,4,334,10
C999993820721,248,6,3667.34,611.2233333333334,6,2.0,1,1,3,113,5
C999993820754,309,3,664.68,221.55999999999997,3,1.0,1,1,1,111,3
C999993820776,75,3,2326.59,775.5300000000001,3,0.0,2,1,1,211,4
C999993820798,47,9,5429.4,603.2666666666667,8,1.0,3,2,3,323,8
C999993820812,101,9,4672.84,519.2044444444444,7,1.0,2,2,3,223,7
C999993820845,37,6,2312.85,385.47499999999997,6,1.0,3,1,1,311,5
C999993820856,37,9,5844.47,649.3855555555556,8,3.0,3,2,3,323,8
C999993820867,366,3,1587.06,529.02,3,0.0,1,1,1,111,3
C999993820878,19,6,2215.67,369.27833333333336,6,0.0,4,1,1,411,6
C999993820889,139,9,4159.01,462.1122222222223,9,2.0,1,2,3,123,6
C999993820890,33,12,4108.5199999999995,342.3766666666666,12,3.0,3,3,3,333,9
C999993820925,78,9,4400.0599999999995,488.8955555555555,9,0.0,2,2,3,223,7
C999993820947,373,3,1348.34,449.44666666666666,3,1.0,1,1,1,111,3
C999993820981,40,9,4129.7300000000005,458.85888888888894,9,0.0,3,2,3,323,8
C999993821011,159,6,2952.8900000000003,492.14833333333337,6,0.0,1,1,2,112,4
C999993821102,104,6,2651.6,441.93333333333334,6,0.0,2,1,2,212,5
C999993821113,55,9,5180.79,575.6433333333333,8,2.0,2,2,3,223,7
C999993821146,260,3,970.44,323.48,3,2.0,1,1,1,111,3
C999993821168,185,3,2051.63,683.8766666666667,3,1.0,1,1,1,111,3
C999993821179,173,3,659.0,219.66666666666666,3,1.0,1,1,1,111,3
C999993821191,11,3,1534.61,511.53666666666663,3,0.0,4,1,1,411,6
C999993821204,76,3,1751.0400000000002,583.6800000000001,3,1.0,2,1,1,211,4
C999993821215,144,3,1055.33,351.77666666666664,3,0.0,1,1,1,111,3
C999993821259,29,9,4051.13,450.1255555555556,8,0.0,3,2,3,323,8
C999993821260,42,12,8043.570000000001,670.2975,12,2.0,3,3,4,334,10
C999993821271,40,15,6480.4800000000005,432.03200000000004,14,3.0,3,3,4,334,10
C999993821282,123,6,4729.27,788.2116666666667,4,0.0,1,1,3,113,5
C999993821317,27,15,8680.8,578.7199999999999,13,2.0,3,3,4,334,10
C999993821339,68,6,3261.25,543.5416666666666,6,1.0,2,1,2,212,5
C999993821340,75,6,3140.9100000000003,523.485,5,0.0,2,1,2,212,5
C999993821351,7,9,4233.84,470.4266666666667,9,0.0,4,2,3,423,9
C999993821373,65,3,696.4200000000001,232.14000000000001,3,0.0,2,1,1,211,4
C999993821431,62,6,2252.7,375.45,6,1.0,2,1,1,211,4
C999993821511,45,3,1100.16,366.72,3,0.0,3,1,1,311,5
C999993821522,2,12,5617.98,468.16499999999996,10,2.0,4,3,3,433,10
C999993821544,20,6,3489.01,581.5016666666667,6,0.0,4,1,2,412,7
C999993821555,11,9,5313.15,590.3499999999999,9,1.0,4,2,3,423,9
C999993821601,129,6,2862.83,477.1383333333333,3,1.0,1,1,2,112,4
C999993821623,102,20,9431.69,471.58450000000005,17,2.0,2,4,4,244,10
C999993821667,58,12,8884.92,740.41,11,4.0,2,3,4,234,9
C999993821678,19,9,5296.16,588.4622222222222,6,0.0,4,2,3,423,9
C999993821714,166,6,2774.35,462.39166666666665,6,0.0,1,1,2,112,4
C999993821725,185,6,2876.4,479.40000000000003,6,1.0,1,1,2,112,4
C999993821758,101,6,2521.98,420.33,6,1.0,2,1,2,212,5
C999993821770,84,6,2776.38,462.73,6,1.0,2,1,2,212,5
C999993821781,203,6,2331.54,388.59,6,1.0,1,1,1,111,3
C999993821816,170,6,3003.51,500.58500000000004,6,0.0,1,1,2,112,4
C999993821827,24,6,3457.25,576.2083333333334,6,0.0,3,1,2,312,6
C999993821838,38,6,3840.44,640.0733333333334,6,2.0,3,1,3,313,7
C999993821850,7,6,3909.8999999999996,651.65,6,1.0,4,1,3,413,8
C999993821918,117,6,2195.26,365.8766666666667,6,0.0,1,1,1,111,3
C999993821929,191,6,4402.18,733.6966666666667,5,2.0,1,1,3,113,5
C999993821930,2,6,1841.83,306.97166666666664,6,2.0,4,1,1,411,6
C999993821941,60,6,3837.95,639.6583333333333,6,0.0,2,1,3,213,6
C999993821963,33,6,2857.39,476.2316666666666,5,0.0,3,1,2,312,6
C999993821974,7,6,2320.54,386.75666666666666,5,2.0,4,1,1,411,6
C999993821996,54,6,3874.87,645.8116666666666,6,1.0,2,1,3,213,6
C999993822004,31,6,1790.3,298.3833333333333,6,0.0,3,1,1,311,5
C999993822037,8,6,4199.3,699.8833333333333,6,0.0,4,1,3,413,8
C999993822059,6,6,2404.06,400.6766666666667,6,0.0,4,1,2,412,7
C999993822071,28,6,5016.85,836.1416666666668,5,0.0,3,1,3,313,7
