日期,年份,季度,月份,周,日,星期几,星期名称,月份名称,是否周末,是否月初,是否月末,季节
2023-01-01,2023,1,1,52,1,7,Sunday,January,是,是,否,冬季
2023-01-02,2023,1,1,1,2,1,Monday,January,否,是,否,冬季
2023-01-03,2023,1,1,1,3,2,Tuesday,January,否,是,否,冬季
2023-01-04,2023,1,1,1,4,3,Wednesday,January,否,是,否,冬季
2023-01-05,2023,1,1,1,5,4,Thursday,January,否,是,否,冬季
2023-01-06,2023,1,1,1,6,5,Friday,January,否,是,否,冬季
2023-01-07,2023,1,1,1,7,6,Saturday,January,是,是,否,冬季
2023-01-08,2023,1,1,1,8,7,Sunday,January,是,是,否,冬季
2023-01-09,2023,1,1,2,9,1,Monday,January,否,是,否,冬季
2023-01-10,2023,1,1,2,10,2,Tuesday,January,否,是,否,冬季
2023-01-11,2023,1,1,2,11,3,Wednesday,January,否,否,否,冬季
2023-01-12,2023,1,1,2,12,4,Thursday,January,否,否,否,冬季
2023-01-13,2023,1,1,2,13,5,Friday,January,否,否,否,冬季
2023-01-14,2023,1,1,2,14,6,Saturday,January,是,否,否,冬季
2023-01-15,2023,1,1,2,15,7,Sunday,January,是,否,否,冬季
2023-01-16,2023,1,1,3,16,1,Monday,January,否,否,否,冬季
2023-01-17,2023,1,1,3,17,2,Tuesday,January,否,否,否,冬季
2023-01-18,2023,1,1,3,18,3,Wednesday,January,否,否,否,冬季
2023-01-19,2023,1,1,3,19,4,Thursday,January,否,否,否,冬季
2023-01-20,2023,1,1,3,20,5,Friday,January,否,否,是,冬季
2023-01-21,2023,1,1,3,21,6,Saturday,January,是,否,是,冬季
2023-01-22,2023,1,1,3,22,7,Sunday,January,是,否,是,冬季
2023-01-23,2023,1,1,4,23,1,Monday,January,否,否,是,冬季
2023-01-24,2023,1,1,4,24,2,Tuesday,January,否,否,是,冬季
2023-01-25,2023,1,1,4,25,3,Wednesday,January,否,否,是,冬季
2023-01-26,2023,1,1,4,26,4,Thursday,January,否,否,是,冬季
2023-01-27,2023,1,1,4,27,5,Friday,January,否,否,是,冬季
2023-01-28,2023,1,1,4,28,6,Saturday,January,是,否,是,冬季
2023-01-29,2023,1,1,4,29,7,Sunday,January,是,否,是,冬季
2023-01-30,2023,1,1,5,30,1,Monday,January,否,否,是,冬季
2023-01-31,2023,1,1,5,31,2,Tuesday,January,否,否,是,冬季
2023-02-01,2023,1,2,5,1,3,Wednesday,February,否,是,否,冬季
2023-02-02,2023,1,2,5,2,4,Thursday,February,否,是,否,冬季
2023-02-03,2023,1,2,5,3,5,Friday,February,否,是,否,冬季
2023-02-04,2023,1,2,5,4,6,Saturday,February,是,是,否,冬季
2023-02-05,2023,1,2,5,5,7,Sunday,February,是,是,否,冬季
2023-02-06,2023,1,2,6,6,1,Monday,February,否,是,否,冬季
