订单ID,客户ID,产品ID,日期,活动ID,数量,单价,总金额,利润,折扣率
O00000001,C999993839867,P014,2023-12-12,M005,1,384.38,315.19,149.15,0.18
O00000002,C999993839867,P042,2023-10-16,,1,465.87,465.87,200.42,0.0
O00000003,C999993839867,P047,2023-01-28,,1,285.15,285.15,135.92,0.0
O00000004,C999993839867,P030,2024-02-20,,1,665.04,665.04,248.68,0.0
O00000005,C999993839867,P014,2023-01-09,,1,386.69,386.69,181.49,0.0
O00000006,C999993839867,P015,2023-10-10,,1,183.31,183.31,78.64,0.0
O00000007,C999993839867,P027,2024-06-08,,1,231.8,231.8,98.65,0.0
O00000008,C999993839867,P031,2024-08-26,,1,724.78,724.78,244.15,0.0
O00000009,C999993839867,P028,2024-03-17,,1,231.59,231.59,101.16,0.0
O00000010,C999993839867,P022,2024-04-01,,1,1338.45,1338.45,597.39,0.0
O00000011,C999993839867,P044,2024-02-02,,1,1073.3,1073.3,512.54,0.0
O00000012,C999993839867,P049,2023-07-09,,1,672.95,672.95,213.04,0.0
O00000013,C999993839867,P024,2024-04-05,,1,163.49,163.49,78.83,0.0
O00000014,C999993839867,P004,2024-03-21,,1,430.09,430.09,133.06,0.0
O00000015,C999993839867,P016,2023-02-22,,1,530.19,530.19,220.52,0.0
O00000016,C999993839867,P015,2023-01-26,,1,162.59,162.59,68.2,0.0
O00000017,C999993839867,P032,2023-10-09,,1,672.41,672.41,268.73,0.0
O00000018,C999993839867,P007,2024-07-12,,1,552.45,552.45,175.38,0.0
O00000019,C999993841107,P022,2024-01-14,,1,1510.93,1510.93,548.83,0.0
O00000020,C999993841107,P012,2023-07-15,,1,318.24,318.24,151.28,0.0
O00000021,C999993841107,P007,2023-02-20,,1,585.7,585.7,284.13,0.0
O00000022,C999993841107,P016,2024-04-20,,1,524.27,524.27,188.69,0.0
O00000023,C999993841107,P020,2023-02-20,,1,70.73,70.73,22.63,0.0
O00000024,C999993841107,P049,2023-12-30,,1,779.08,779.08,309.67,0.0
O00000025,C999993813180,P013,2023-12-29,,1,969.08,969.08,440.15,0.0
O00000026,C999993813180,P016,2023-01-17,,2,587.04,1174.08,395.7,0.0
O00000027,C999993813180,P028,2023-06-08,,1,233.53,233.53,92.53,0.0
O00000028,C999993813180,P038,2023-11-20,,1,172.95,172.95,61.48,0.0
O00000029,C999993813180,P035,2023-03-03,M001,2,682.64,1160.49,536.11,0.15
O00000030,C999993813180,P026,2023-02-09,,1,230.92,230.92,81.61,0.0
O00000031,C999993813180,P045,2024-02-16,,1,292.03,292.03,93.6,0.0
O00000032,C999993813180,P005,2024-01-17,,1,271.45,271.45,132.66,0.0
O00000033,C999993813180,P030,2024-08-06,,1,784.69,784.69,237.23,0.0
O00000034,C999993813180,P041,2023-04-16,,1,319.05,319.05,136.33,0.0
O00000035,C999993813180,P017,2023-12-18,,1,597.39,597.39,188.96,0.0
O00000036,C999993813180,P043,2024-01-16,,1,260.54,260.54,96.88,0.0
O00000037,C999993841163,P013,2023-11-30,,1,1173.45,1173.45,571.85,0.0
O00000038,C999993841163,P038,2023-12-11,M005,1,178.79,146.61,61.35,0.18
O00000039,C999993841163,P024,2023-11-01,M004,1,184.8,138.6,55.98,0.25
O00000040,C999993841163,P019,2023-11-30,,1,215.75,215.75,77.02,0.0
O00000041,C999993841163,P044,2023-01-10,,1,1037.8,1037.8,499.37,0.0
O00000042,C999993841163,P008,2023-06-16,M002,1,321.73,257.38,118.47,0.2
O00000043,C999993846773,P044,2024-03-17,,2,956.26,1912.52,837.69,0.0
O00000044,C999993846773,P010,2024-02-11,,2,67.81,135.62,45.07,0.0
O00000045,C999993846773,P032,2024-01-27,,1,750.83,750.83,260.17,0.0
O00000046,C999993846773,P016,2023-03-04,M001,1,577.15,490.58,248.64,0.15
O00000047,C999993846773,P012,2024-02-26,,1,340.56,340.56,111.24,0.0
O00000048,C999993846773,P007,2024-01-26,,1,470.03,470.03,179.75,0.0
O00000049,C999993846773,P042,2024-02-18,,2,426.02,852.04,340.14,0.0
O00000050,C999993846773,P009,2023-08-17,,1,251.08,251.08,75.79,0.0
O00000051,C999993846773,P007,2024-02-09,,1,432.51,432.51,145.44,0.0
O00000052,C999993846773,P010,2023-04-28,,1,57.14,57.14,24.41,0.0
O00000053,C999993846773,P018,2023-12-30,,1,1222.71,1222.71,527.47,0.0
O00000054,C999993846773,P003,2023-06-14,M002,2,532.54,852.06,458.87,0.2
O00000055,C999993809344,P009,2024-07-14,,1,230.38,230.38,76.7,0.0
