前项,后项,支持度,置信度,提升度
"博柏利香水, 祖玛珑香水","卡文克莱香水, 兰蔻香水",0.02418542156533423,0.2618181818181818,1.8361194988756824
"卡文克莱香水, 兰蔻香水","博柏利香水, 祖玛珑香水",0.02418542156533423,0.16961130742049468,1.8361194988756824
"安娜苏香水, 兰蔻香水","迪奥香水, 博柏利香水",0.020826335236815586,0.17056396148555708,1.8102278550534883
"迪奥香水, 博柏利香水","安娜苏香水, 兰蔻香水",0.020826335236815586,0.2210338680926916,1.810227855053488
"安娜苏香水, 博柏利香水","迪奥香水, 兰蔻香水",0.020826335236815586,0.16489361702127658,1.7721599201167522
"迪奥香水, 兰蔻香水","安娜苏香水, 博柏利香水",0.020826335236815586,0.223826714801444,1.7721599201167522
"安娜苏香水, 迪奥香水","博柏利香水, 兰蔻香水",0.020826335236815586,0.17103448275862068,1.771024887556222
"博柏利香水, 兰蔻香水","安娜苏香水, 迪奥香水",0.020826335236815586,0.2156521739130435,1.771024887556222
"迪奥香水, 祖玛珑香水","卡文克莱香水, 兰蔻香水",0.02267383271750084,0.24816176470588233,1.7403476408231136
"卡文克莱香水, 兰蔻香水","迪奥香水, 祖玛珑香水",0.02267383271750084,0.15901060070671377,1.7403476408231136
"祖玛珑香水, 兰蔻香水","卡文克莱香水, 博柏利香水",0.02418542156533423,0.26519337016574585,1.7389441915934478
"卡文克莱香水, 博柏利香水","祖玛珑香水, 兰蔻香水",0.02418542156533423,0.15859030837004404,1.7389441915934478
"安娜苏香水, 卡文克莱香水","迪奥香水, 博柏利香水",0.03107154853879745,0.1627088830255057,1.7268604091512674
"迪奥香水, 博柏利香水","安娜苏香水, 卡文克莱香水",0.03107154853879745,0.32976827094474154,1.7268604091512674
"卡文克莱香水, 祖玛珑香水","博柏利香水, 兰蔻香水",0.02418542156533423,0.16628175519630486,1.7218114268500857
"博柏利香水, 兰蔻香水","卡文克莱香水, 祖玛珑香水",0.02418542156533423,0.25043478260869567,1.7218114268500855
"迪奥香水, 博柏利香水","卡文克莱香水, 兰蔻香水",0.02267383271750084,0.24064171122994651,1.6876098335254435
"卡文克莱香水, 兰蔻香水","迪奥香水, 博柏利香水",0.02267383271750084,0.15901060070671377,1.6876098335254435
"卡文克莱香水, 祖玛珑香水","迪奥香水, 兰蔻香水",0.02267383271750084,0.15588914549653582,1.6753862315638524
"迪奥香水, 兰蔻香水","卡文克莱香水, 祖玛珑香水",0.02267383271750084,0.24368231046931407,1.6753862315638521
"安娜苏香水, 迪奥香水","卡文克莱香水, 博柏利香水",0.03107154853879745,0.25517241379310346,1.673234087801914
"卡文克莱香水, 博柏利香水","安娜苏香水, 迪奥香水",0.03107154853879745,0.20374449339207046,1.6732340878019138
"卡文克莱香水, 祖玛珑香水","迪奥香水, 博柏利香水",0.022841787033926773,0.15704387990762128,1.6667366505703691
"迪奥香水, 博柏利香水","卡文克莱香水, 祖玛珑香水",0.022841787033926773,0.24242424242424243,1.666736650570369
"卡文克莱香水, 迪奥香水","祖玛珑香水, 兰蔻香水",0.02267383271750084,0.15151515151515152,1.6613650315307775
"祖玛珑香水, 兰蔻香水","卡文克莱香水, 迪奥香水",0.02267383271750084,0.24861878453038674,1.6613650315307773
"卡文克莱香水, 迪奥香水","博柏利香水, 祖玛珑香水",0.022841787033926773,0.15263748597081933,1.6523701663095605
"博柏利香水, 祖玛珑香水","卡文克莱香水, 迪奥香水",0.022841787033926773,0.24727272727272728,1.6523701663095602
"卡文克莱香水, 迪奥香水","祖玛珑香水, 菲拉格慕香水",0.021330198186093382,0.1425364758698092,1.6510937302117588
"祖玛珑香水, 菲拉格慕香水","卡文克莱香水, 迪奥香水",0.021330198186093382,0.2470817120622568,1.6510937302117585
"卡文克莱香水, 迪奥香水","安娜苏香水, 博柏利香水",0.03107154853879745,0.20763187429854096,1.643936409007331
"安娜苏香水, 博柏利香水","卡文克莱香水, 迪奥香水",0.03107154853879745,0.2460106382978723,1.6439364090073307
"卡文克莱香水, 博柏利香水","迪奥香水, 祖玛珑香水",0.022841787033926773,0.14977973568281938,1.63931718061674
"迪奥香水, 祖玛珑香水","卡文克莱香水, 博柏利香水",0.022841787033926773,0.25,1.63931718061674
