产品名称,作为前项次数,作为后项次数,总出现次数,平均提升度
卡文克莱香水,843,843,1686,1.2957271352279214
安娜苏香水,755,755,1510,1.2869745549713847
博柏利香水,475,475,950,1.3511667623264543
兰蔻香水,459,459,918,1.335234680681471
迪奥香水,457,457,914,1.3420540778837995
祖玛珑香水,432,432,864,1.320035777380187
菲拉格慕香水,377,377,754,1.2815518862709605
意大利原装进口Bvlgari宝格丽女士香水持久淡香氛 紫金纯香65ml,98,98,196,1.2655023467673137
宝格丽女士香水,93,93,186,1.2708866139923674
Dior迪奥女士香水Q版5ml小样  香水身体乳  礼盒包装 送手提袋 四件装 白色礼盒,92,92,184,1.2572672031383794
Dior迪奥女士香水女人生日礼物 迪奥小甜心小姐 真我女士香水发香雾迪奥真我发香喷雾 迪奥 迪奥真我发香雾30ml送礼盒无货预定中,90,90,180,1.2648408340384922
Chanel/香奈儿香水小样 香奈儿邂逅绿粉黄色 coco小姐香水女士正品淡香 持久 邂逅白可可五号之水5件套,87,87,174,1.2482154847222757
Chanel香奈儿COCO可可小姐女士淡香水100ml,87,87,174,1.2391944846151315
迪奥Dior香水 真我女士浓香100ML,86,86,172,1.262684230587315
Gucci古驰花之舞花园系列女香之 栀子花/柑橘/紫罗兰等 -30ml栀子花正装,86,86,172,1.2763879703330148
古驰香水,86,86,172,1.2533998768645562
范思哲香水,84,84,168,1.2641965646681133
香奈儿可可小姐淡香水（瓶装）,84,84,168,1.2654300897274964
专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml,84,84,168,1.2358814725839213
 CHANEL香奈儿邂逅机会EDP女士香水100ml 黄色机遇持久浓香 ,84,84,168,1.2819466048016677
CK因为你香水IN2U喜欢你50ml/100ml/150ml等 -因为你女香100ml,81,81,162,1.2560885834769082
VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装,81,81,162,1.2531278334894942
阿玛尼Gio寄情水男士淡香水 50ML,81,81,162,1.2212857848702559
迪奥（Dior/CD）香水女士 迪奥粉红魅惑香水女士100ml,80,80,160,1.2708747298871397
Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml,80,80,160,1.2401473461696937
马克.雅可布香水,80,80,160,1.2365019115889169
雅芳香氛喷雾香水50ml 送小黑裙身体乳香氛香水 小黑裙50ML送小黑裙身体乳,78,78,156,1.2335716846072737
浪凡香水,78,78,156,1.2490080094114604
Chanel香奈儿香水女士淡香氛 5号之水EDT淡香100ml(新版),78,78,156,1.230469412343266
菲拉格慕 甜心魔力/梦中情人女士淡香水 100ml,77,77,154,1.1904585042480127
阿玛尼ARMANI 挚爱女士香水EDP 1.5ml*3,76,76,152,1.2095903606042626
美奥迪菲MYOSOTIS 豪华装法国女士香水夜用30ml清新持久淡香买一送7 红唇豪华版30毫升,75,75,150,1.232043263165811
博士淡香水,75,75,150,1.2247262044339717
Dior克丽丝汀迪奥女士香水 持久淡香氛 真我EDP浓香50ml(京东发货),75,75,150,1.2075705509566839
【跨新年抢先购】精美礼盒晨露女士香水50ml持久清新淡香海洋香调 绿色,75,75,150,1.2411197054994063
Dior迪奥真我香水女士 -100ml淡香水EDT,73,73,146,1.2038713442464324
普拉达香水,72,72,144,1.2082431133910887
LANVIN浪凡我愿意女士香水/Marry me嫁给我 -30ml,72,72,144,1.206952798896655
万宝龙传奇女士香水 30ml,71,71,142,1.1847650372369787
古驰GUCCI女士香水 罪爱淡香氛 古驰罪爱75ml,71,71,142,1.1898221536120022
